ImageX,ImageY,Band01,Band02,Band03,Band04,Band05,Band06,Band07,Band08,Band8A,Band09,Band11,Band12
1,113,8,19,28,40,47,55,60,68,67,97,68,69
1,114,9,20,29,43,48,52,55,64,64,100,75,64
1,115,2,11,19,22,28,44,51,61,58,79,48,60
1,116,7,15,23,28,41,54,60,69,69,78,54,67
1,117,5,11,17,23,32,45,49,57,55,83,56,56
1,118,3,11,18,24,33,47,53,63,59,81,52,62
1,119,8,17,23,35,38,41,45,52,52,93,77,52
1,120,2,7,14,16,25,45,51,58,59,69,46,58
1,121,2,8,15,20,31,45,52,58,57,76,53,59
1,122,5,11,17,25,32,37,42,49,50,81,60,50
1,123,2,9,16,21,32,60,68,75,79,75,52,78
1,124,3,8,14,19,29,50,59,67,68,80,51,69
1,125,3,8,14,19,30,52,62,71,69,83,51,71
2,1,3,7,10,10,18,35,40,47,47,33,22,45
2,2,1,4,6,6,12,25,29,33,34,21,12,33
2,3,2,6,10,13,18,29,35,42,39,38,25,39
2,4,0,3,5,4,8,24,28,32,30,14,7,32
2,5,0,3,5,4,9,24,27,31,30,16,8,30
2,6,0,3,5,3,8,24,28,31,30,14,7,30
2,7,0,3,5,4,11,25,29,32,31,19,10,32
2,8,1,3,6,6,11,24,28,31,32,22,12,31
2,9,1,5,8,8,16,26,30,33,33,34,21,36
2,10,1,4,7,7,12,24,28,33,33,26,16,31
2,11,0,3,6,4,9,23,27,31,30,16,9,31
2,12,0,3,5,3,8,23,28,32,31,13,7,31
2,13,1,5,9,9,16,30,36,42,38,26,15,41
2,14,0,3,5,4,9,22,27,31,31,13,7,30
2,15,3,6,10,12,17,26,29,34,34,35,23,35
2,16,4,6,9,11,17,29,34,34,44,42,27,40
2,17,4,7,11,11,15,24,27,30,35,30,20,33
2,18,5,9,13,18,22,35,40,45,46,49,33,49
2,19,3,5,8,11,17,31,37,40,41,32,20,41
2,20,3,5,7,10,16,27,33,37,43,34,21,37
2,21,2,3,6,5,11,28,33,35,36,18,10,36
2,22,1,3,5,5,10,25,30,34,36,16,8,35
2,23,4,6,10,13,16,28,33,38,45,35,22,39
2,24,4,7,9,12,20,29,33,37,43,43,28,39
2,25,5,9,12,16,23,33,37,43,47,50,33,46
2,26,4,5,9,9,18,33,38,46,48,34,21,45
2,27,2,3,5,4,9,26,32,34,37,17,11,35
2,28,7,13,18,25,31,43,49,59,59,66,44,59
2,29,6,7,9,13,19,32,38,42,49,41,28,42
2,30,9,13,17,26,34,44,51,60,64,76,49,60
2,31,12,17,23,32,40,50,57,64,72,96,66,66
2,32,11,16,20,29,37,47,52,59,68,86,58,62
2,33,12,17,21,29,37,45,50,56,64,84,57,58
2,34,9,12,16,23,29,36,41,47,50,60,44,47
2,35,8,11,15,20,27,37,41,48,49,59,40,48
2,36,10,14,20,27,33,41,46,51,53,73,51,53
2,37,7,13,17,21,26,36,38,46,46,51,39,43
2,38,9,14,18,25,34,45,50,58,62,76,50,59
2,39,9,12,17,25,32,45,51,58,63,74,46,59
2,40,8,11,16,22,28,45,48,54,55,68,43,55
2,41,8,13,18,26,33,42,48,54,58,75,50,56
2,42,7,12,17,24,32,40,45,52,55,70,47,53
2,43,8,14,20,27,33,40,44,52,52,76,50,52
2,44,9,15,19,25,31,41,46,52,51,79,53,54
2,45,7,13,18,25,31,37,41,48,48,74,49,49
2,46,9,14,20,28,34,44,49,56,56,81,53,58
2,47,8,13,18,25,32,43,49,57,56,73,47,57
2,48,6,11,14,22,28,34,39,47,48,66,41,48
2,49,8,12,16,23,30,39,44,51,56,71,48,52
2,50,8,12,17,25,34,46,52,60,63,77,48,58
2,51,8,15,20,27,37,43,49,57,61,81,55,58
2,52,8,12,17,24,33,41,46,54,55,69,46,54
2,53,5,10,15,22,30,43,49,57,60,70,46,57
2,54,9,15,21,28,37,51,57,64,66,81,54,65
2,55,8,13,19,25,35,51,58,66,68,81,52,68
2,56,7,13,18,24,32,43,48,55,58,78,52,57
2,57,8,14,20,28,36,46,52,60,63,81,54,61
2,58,5,9,15,15,26,50,58,65,68,71,43,66
2,59,8,14,20,27,35,48,53,62,65,79,50,63
2,60,9,15,21,28,37,50,56,66,64,79,57,64
2,61,5,10,15,20,28,37,42,51,55,62,37,51
2,62,7,12,18,22,31,43,48,59,61,67,46,56
2,63,5,9,14,20,27,37,41,47,50,59,36,49
2,64,5,10,16,20,31,44,50,59,60,65,38,61
2,65,7,12,18,23,34,55,61,71,67,74,49,68
2,66,7,13,20,25,35,49,55,63,63,78,48,65
2,67,8,12,18,23,32,52,59,69,70,73,46,69
2,68,11,18,24,32,36,47,51,57,56,75,59,58
2,69,11,16,24,30,37,49,54,60,61,75,53,61
2,70,8,14,21,25,37,62,71,80,76,72,47,81
2,71,11,15,22,30,39,50,57,61,65,86,59,66
2,72,15,26,35,49,57,63,68,76,74,91,70,76
2,73,11,20,29,40,47,58,63,72,75,88,62,72
2,74,8,14,20,24,35,51,56,63,65,72,48,65
2,75,8,15,23,27,37,59,65,74,73,74,47,74
2,76,8,12,19,22,34,53,61,71,72,75,46,71
2,77,10,16,24,29,40,53,58,66,65,80,55,66
2,78,11,19,27,38,47,56,62,71,71,82,58,73
2,79,8,12,19,24,32,50,59,64,66,75,50,67
2,80,10,14,21,25,34,49,58,64,64,74,47,65
2,81,9,14,20,26,35,50,56,63,63,80,53,65
2,82,10,15,21,30,37,46,53,61,61,82,56,62
2,83,9,15,21,28,37,49,56,63,64,81,52,64
2,84,11,19,28,38,51,72,82,93,91,77,48,94
2,85,8,12,18,23,30,56,64,70,68,67,47,70
2,86,8,12,19,25,35,46,53,62,63,73,45,63
2,87,6,10,17,23,34,51,59,67,67,70,44,68
2,88,4,9,15,22,32,44,50,59,61,73,44,60
2,89,5,13,21,28,37,50,56,65,66,80,51,67
2,90,16,30,42,62,72,78,84,91,90,95,65,93
2,91,11,22,34,49,61,74,83,93,93,88,58,93
2,92,12,15,25,32,47,64,72,85,87,84,56,82
2,93,2,10,16,23,31,48,54,64,64,77,49,64
2,94,4,10,18,24,34,56,65,75,73,83,52,74
2,95,4,9,16,21,34,59,68,77,79,78,50,79
2,96,5,12,22,26,39,62,70,81,80,83,52,81
2,97,5,14,23,32,41,53,59,69,69,87,55,69
2,98,5,12,20,26,38,60,69,79,80,75,48,78
2,99,10,22,33,44,55,70,79,89,89,97,64,91
2,100,6,14,23,31,42,49,55,62,64,90,61,63
2,101,4,13,22,29,39,54,60,69,68,85,56,69
2,102,3,10,16,23,31,42,49,57,57,78,52,58
2,103,6,18,28,42,48,60,67,73,74,91,60,75
2,104,7,20,31,45,53,66,72,82,80,92,59,81
2,105,22,37,50,73,82,88,95,106,107,108,73,107
2,106,3,10,16,23,34,53,61,70,67,84,52,70
2,107,8,20,29,44,47,53,57,66,65,97,71,65
2,108,8,19,28,39,43,52,58,64,68,90,67,64
2,109,1,8,15,19,32,57,65,75,70,77,49,74
2,110,10,21,30,44,51,60,66,75,75,89,61,75
2,111,4,11,18,24,34,48,54,62,63,79,53,62
2,112,6,13,19,26,34,48,54,63,58,85,62,62
2,113,7,17,26,36,43,54,58,65,66,91,64,66
2,114,7,21,30,45,51,55,59,68,66,101,74,69
2,115,9,19,28,36,48,57,61,70,71,86,60,69
2,116,5,11,19,26,38,50,56,66,66,82,52,65
2,117,8,22,31,48,52,58,64,77,71,87,61,75
2,118,4,11,18,24,32,45,52,60,59,84,56,59
2,119,5,12,18,25,32,42,47,53,53,78,56,54
2,120,7,13,19,30,34,53,60,67,68,85,66,67
2,121,6,10,16,22,31,47,53,61,63,80,53,61
2,122,4,10,17,21,33,57,63,73,66,81,51,73
2,123,2,7,12,17,22,29,31,36,37,73,61,37
2,124,0,4,11,14,26,46,54,61,60,69,39,63
2,125,2,8,14,19,29,52,62,69,69,79,50,70
3,1,4,6,9,9,17,29,33,40,38,32,22,36
3,2,8,9,12,14,19,34,38,43,42,37,26,43
3,3,0,3,5,4,11,28,33,37,36,17,8,36
3,4,0,3,5,3,9,28,33,37,36,12,5,36
3,5,0,3,5,3,9,27,32,35,35,14,7,35
3,6,0,3,5,4,9,25,28,33,31,15,7,32
3,7,0,3,6,6,11,24,28,31,32,22,12,32
3,8,1,4,7,7,12,24,27,32,33,28,17,30
3,9,1,5,7,8,14,26,30,34,35,28,16,34
3,10,2,5,8,8,15,28,32,37,38,28,17,37
3,11,0,3,5,4,9,24,28,31,30,16,9,31
3,12,0,3,6,4,9,24,28,32,31,16,8,31
3,13,0,3,5,4,10,25,29,33,32,16,8,33
3,14,2,5,8,8,14,26,30,34,36,25,16,35
3,15,4,6,8,10,16,27,31,36,39,32,19,37
3,16,4,5,7,8,14,25,30,31,36,26,18,33
3,17,3,7,10,15,19,26,32,38,40,44,27,40
3,18,3,6,8,9,14,24,28,33,36,30,18,33
3,19,1,3,6,5,11,28,33,36,35,17,10,37
3,20,2,3,6,5,11,28,33,36,36,19,10,37
3,21,2,4,6,5,11,26,31,34,34,19,11,34
3,22,5,9,13,16,21,30,35,41,43,49,32,41
3,23,4,8,11,15,19,29,35,39,42,39,27,43
3,24,4,6,10,11,18,29,34,38,44,39,24,40
3,25,2,4,7,7,13,30,40,44,44,25,15,44
3,26,7,12,16,22,30,43,49,57,57,71,46,57
3,27,5,8,12,17,21,30,35,41,46,43,30,41
3,28,7,12,16,25,33,41,48,60,66,72,45,61
3,29,8,13,18,26,33,42,46,54,63,75,47,56
3,30,11,16,22,29,37,48,53,62,67,93,67,62
3,31,10,15,20,30,38,46,52,59,65,84,56,60
3,32,9,14,19,27,34,42,46,53,59,76,50,55
3,33,9,14,18,23,28,35,40,45,53,61,47,46
3,34,4,8,8,1,1,0,0,0,0,1,1,0
3,35,7,12,16,21,28,35,40,47,44,63,41,47
3,36,10,14,17,23,29,35,40,46,48,62,42,49
3,37,7,11,15,19,26,36,41,47,46,54,37,48
3,38,7,8,12,15,20,30,34,40,38,38,27,39
3,39,7,12,17,23,31,41,43,46,49,60,45,46
3,40,8,13,17,22,29,36,40,47,44,67,46,48
3,41,7,12,16,19,25,35,40,46,43,61,40,47
3,42,8,12,17,23,29,37,42,47,47,69,45,49
3,43,5,9,14,19,25,33,37,42,44,54,34,45
3,44,5,11,14,20,26,32,37,43,41,59,39,44
3,45,5,7,12,12,18,22,25,31,30,38,26,29
3,46,8,13,16,22,28,34,38,44,48,71,50,46
3,47,6,11,15,21,27,34,39,47,45,67,44,48
3,48,7,11,16,23,29,37,42,49,49,68,44,50
3,49,7,13,18,24,32,41,46,52,53,75,52,53
3,50,8,13,18,24,34,44,50,54,61,71,49,58
3,51,6,11,15,22,27,33,37,44,44,65,39,45
3,52,9,13,15,20,24,33,37,41,43,41,32,39
3,53,8,12,18,24,32,42,47,54,60,77,52,55
3,54,8,14,19,26,36,44,51,58,66,83,53,61
3,55,7,11,16,23,31,40,46,54,62,69,44,55
3,56,8,14,19,27,35,44,49,56,64,75,49,58
3,57,8,13,18,26,34,43,48,56,62,79,53,56
3,58,7,12,17,24,32,42,47,54,60,71,45,55
3,59,5,10,16,20,30,46,52,59,61,68,43,60
3,60,9,14,20,27,38,55,62,72,73,75,47,71
3,61,5,8,13,18,26,34,39,46,51,57,35,47
3,62,5,10,14,17,28,44,49,55,56,63,41,57
3,63,6,12,16,21,30,44,50,58,61,64,39,59
3,64,6,10,17,21,31,45,51,58,60,65,41,60
3,65,6,11,17,21,33,50,56,64,63,72,48,65
3,66,8,15,23,28,37,53,59,68,66,80,53,67
3,67,9,12,18,26,35,48,55,67,66,75,46,65
3,68,9,14,20,26,35,52,58,67,64,70,46,65
3,69,8,14,21,27,35,50,58,65,66,72,48,66
