Category,LandType,ImageX,ImageY,Band01,Band02,Band03,Band04,Band05,Band06,Band07,Band08,Band8A,Band09,Band11,Band12
5,Snow,218,1267,85.0,95.0,102.0,108.0,114.0,115.0,118.0,122.0,136.0,103.0,101.0,125.0
5,Snow,218,1272,83.0,107.0,113.0,118.0,124.0,128.0,128.0,128.0,130.0,124.0,116.0,131.0
5,Snow,218,1277,31.0,38.0,31.0,25.0,25.0,25.0,25.0,25.0,34.0,20.0,16.0,26.0
5,Snow,223,1262,67.0,62.0,68.0,75.0,78.0,76.0,79.0,82.0,101.0,72.0,73.0,80.0
5,Snow,223,1267,71.0,82.0,87.0,92.0,98.0,102.0,103.0,108.0,129.0,121.0,117.0,109.0
5,Snow,223,1272,101.0,100.0,109.0,115.0,111.0,109.0,112.0,132.0,158.0,145.0,136.0,123.0
5,Snow,223,1277,79.0,104.0,106.0,109.0,101.0,100.0,104.0,124.0,113.0,117.0,111.0,112.0
5,Snow,228,1262,67.0,68.0,77.0,84.0,86.0,87.0,89.0,95.0,108.0,89.0,86.0,92.0
5,Snow,228,1267,131.0,160.0,165.0,174.0,170.0,170.0,170.0,176.0,155.0,73.0,70.0,167.0
5,Snow,228,1272,127.0,137.0,123.0,114.0,105.0,102.0,102.0,118.0,142.0,34.0,31.0,100.0
5,Snow,228,1277,84.0,64.0,53.0,43.0,46.0,46.0,46.0,39.0,64.0,36.0,31.0,43.0
5,Snow,233,1262,56.0,61.0,68.0,75.0,84.0,84.0,85.0,86.0,105.0,75.0,56.0,87.0
5,Snow,233,1267,97.0,96.0,103.0,109.0,112.0,110.0,112.0,124.0,129.0,67.0,66.0,119.0
5,Snow,233,1272,105.0,79.0,66.0,63.0,73.0,72.0,76.0,72.0,125.0,52.0,52.0,83.0
5,Snow,233,1277,101.0,101.0,92.0,85.0,84.0,89.0,94.0,81.0,103.0,78.0,70.0,85.0
6,MountainRock,365,1212,23.0,30.0,36.0,43.0,40.0,41.0,42.0,49.0,61.0,61.0,60.0,44.0
6,MountainRock,365,1217,20.0,25.0,31.0,34.0,38.0,40.0,41.0,41.0,53.0,74.0,74.0,49.0
6,MountainRock,365,1222,23.0,29.0,33.0,36.0,36.0,36.0,37.0,44.0,50.0,70.0,70.0,45.0
6,MountainRock,365,1227,22.0,27.0,29.0,33.0,34.0,36.0,37.0,41.0,43.0,54.0,56.0,42.0
6,MountainRock,370,1212,23.0,24.0,27.0,31.0,34.0,35.0,36.0,39.0,53.0,59.0,59.0,39.0
6,MountainRock,370,1217,34.0,35.0,39.0,45.0,49.0,52.0,56.0,63.0,81.0,101.0,99.0,65.0
6,MountainRock,370,1222,20.0,22.0,27.0,33.0,36.0,40.0,42.0,45.0,50.0,68.0,65.0,46.0
6,MountainRock,370,1227,21.0,23.0,28.0,31.0,36.0,38.0,42.0,45.0,47.0,75.0,72.0,47.0
6,MountainRock,375,1212,27.0,26.0,28.0,31.0,35.0,36.0,37.0,37.0,53.0,63.0,65.0,41.0
6,MountainRock,375,1217,28.0,21.0,22.0,23.0,20.0,20.0,21.0,26.0,57.0,41.0,37.0,26.0
6,MountainRock,375,1222,29.0,35.0,40.0,47.0,52.0,57.0,61.0,68.0,65.0,99.0,98.0,66.0
6,MountainRock,375,1227,22.0,27.0,30.0,35.0,38.0,41.0,42.0,46.0,48.0,69.0,66.0,47.0
6,MountainRock,380,1212,37.0,39.0,43.0,46.0,46.0,48.0,51.0,56.0,64.0,95.0,91.0,60.0
6,MountainRock,380,1217,30.0,36.0,39.0,41.0,39.0,41.0,43.0,51.0,58.0,77.0,75.0,51.0
6,MountainRock,380,1222,28.0,26.0,28.0,31.0,39.0,41.0,44.0,41.0,60.0,71.0,71.0,49.0
6,MountainRock,380,1227,24.0,28.0,33.0,38.0,39.0,43.0,46.0,52.0,58.0,81.0,74.0,55.0
6,MountainRock,516,1334,32.0,47.0,53.0,60.0,64.0,65.0,68.0,72.0,63.0,114.0,108.0,71.0
6,MountainRock,516,1339,35.0,43.0,47.0,53.0,57.0,61.0,64.0,70.0,69.0,112.0,99.0,73.0
6,MountainRock,516,1344,43.0,48.0,54.0,59.0,68.0,70.0,74.0,73.0,73.0,111.0,102.0,77.0
6,MountainRock,516,1349,44.0,47.0,54.0,59.0,61.0,62.0,65.0,71.0,74.0,108.0,98.0,70.0
6,MountainRock,521,1334,33.0,43.0,48.0,54.0,59.0,63.0,65.0,70.0,66.0,113.0,102.0,73.0
6,MountainRock,521,1339,39.0,43.0,46.0,51.0,54.0,56.0,59.0,66.0,71.0,98.0,87.0,66.0
6,MountainRock,521,1344,44.0,48.0,54.0,60.0,60.0,62.0,64.0,71.0,70.0,106.0,97.0,71.0
6,MountainRock,521,1349,35.0,38.0,43.0,48.0,51.0,53.0,55.0,58.0,62.0,92.0,83.0,60.0
6,MountainRock,526,1334,34.0,36.0,41.0,47.0,51.0,54.0,57.0,64.0,68.0,101.0,86.0,66.0
6,MountainRock,526,1339,39.0,43.0,46.0,52.0,54.0,57.0,60.0,65.0,67.0,103.0,93.0,66.0
6,MountainRock,526,1344,34.0,45.0,50.0,56.0,57.0,58.0,61.0,69.0,64.0,107.0,97.0,68.0
6,MountainRock,526,1349,28.0,33.0,37.0,41.0,43.0,45.0,47.0,51.0,53.0,84.0,81.0,52.0
6,MountainRock,531,1334,29.0,32.0,36.0,42.0,45.0,49.0,53.0,59.0,64.0,93.0,79.0,62.0
6,MountainRock,531,1339,38.0,45.0,50.0,55.0,57.0,59.0,62.0,67.0,66.0,110.0,100.0,69.0
6,MountainRock,531,1344,31.0,35.0,40.0,45.0,49.0,52.0,55.0,62.0,62.0,99.0,90.0,64.0
6,MountainRock,531,1349,34.0,40.0,43.0,46.0,49.0,50.0,50.0,58.0,61.0,90.0,82.0,58.0
6,MountainRock,332,1203,21.0,26.0,31.0,36.0,38.0,39.0,40.0,43.0,47.0,61.0,64.0,42.0
6,MountainRock,332,1208,22.0,26.0,30.0,33.0,36.0,36.0,37.0,40.0,46.0,60.0,63.0,40.0
6,MountainRock,332,1213,22.0,27.0,34.0,42.0,44.0,46.0,47.0,52.0,56.0,69.0,69.0,50.0
6,MountainRock,332,1218,26.0,31.0,35.0,39.0,40.0,41.0,41.0,43.0,52.0,60.0,61.0,43.0
6,MountainRock,337,1203,22.0,27.0,31.0,35.0,38.0,39.0,41.0,43.0,52.0,64.0,66.0,45.0
6,MountainRock,337,1208,23.0,32.0,40.0,48.0,51.0,52.0,53.0,57.0,58.0,74.0,74.0,55.0
6,MountainRock,337,1213,23.0,26.0,33.0,40.0,45.0,47.0,48.0,49.0,59.0,75.0,76.0,51.0
6,MountainRock,337,1218,23.0,25.0,29.0,33.0,35.0,37.0,38.0,41.0,54.0,61.0,61.0,42.0
6,MountainRock,342,1203,22.0,27.0,33.0,39.0,41.0,42.0,44.0,47.0,54.0,69.0,70.0,47.0
6,MountainRock,342,1208,21.0,26.0,33.0,40.0,44.0,45.0,47.0,49.0,58.0,73.0,73.0,50.0
6,MountainRock,342,1213,29.0,34.0,40.0,47.0,50.0,53.0,54.0,58.0,63.0,85.0,82.0,59.0
6,MountainRock,342,1218,18.0,24.0,28.0,33.0,35.0,37.0,40.0,45.0,47.0,63.0,59.0,45.0
6,MountainRock,347,1203,21.0,27.0,32.0,37.0,39.0,41.0,44.0,48.0,57.0,70.0,67.0,50.0
6,MountainRock,347,1208,19.0,23.0,28.0,35.0,40.0,45.0,48.0,52.0,64.0,77.0,66.0,55.0
6,MountainRock,347,1213,24.0,29.0,32.0,39.0,44.0,49.0,53.0,57.0,69.0,85.0,72.0,60.0
6,MountainRock,347,1218,10.0,10.0,15.0,19.0,27.0,42.0,48.0,56.0,55.0,61.0,41.0,58.0
6,MountainRock,343,1119,22.0,24.0,27.0,31.0,34.0,36.0,36.0,36.0,46.0,52.0,54.0,38.0
6,MountainRock,343,1124,42.0,52.0,57.0,64.0,64.0,65.0,66.0,73.0,78.0,108.0,103.0,71.0
6,MountainRock,343,1129,38.0,39.0,43.0,47.0,51.0,52.0,53.0,56.0,74.0,89.0,87.0,59.0
6,MountainRock,343,1134,29.0,30.0,34.0,38.0,43.0,43.0,44.0,46.0,62.0,76.0,77.0,49.0
6,MountainRock,348,1119,20.0,23.0,27.0,31.0,31.0,31.0,32.0,35.0,34.0,46.0,49.0,34.0
6,MountainRock,348,1124,20.0,23.0,26.0,30.0,32.0,33.0,34.0,35.0,43.0,49.0,52.0,35.0
6,MountainRock,348,1129,20.0,24.0,28.0,32.0,33.0,34.0,35.0,37.0,42.0,52.0,55.0,36.0
6,MountainRock,348,1134,20.0,23.0,27.0,31.0,33.0,34.0,35.0,36.0,38.0,49.0,51.0,36.0
6,MountainRock,353,1119,20.0,27.0,35.0,42.0,43.0,44.0,46.0,48.0,51.0,67.0,67.0,47.0
6,MountainRock,353,1124,19.0,23.0,28.0,33.0,35.0,37.0,37.0,38.0,47.0,57.0,59.0,39.0
6,MountainRock,353,1129,20.0,24.0,31.0,37.0,40.0,41.0,42.0,44.0,50.0,61.0,62.0,43.0
6,MountainRock,353,1134,20.0,22.0,29.0,34.0,39.0,40.0,42.0,42.0,52.0,65.0,65.0,45.0
6,MountainRock,358,1119,19.0,24.0,35.0,44.0,47.0,49.0,51.0,54.0,62.0,78.0,78.0,54.0
6,MountainRock,358,1124,23.0,31.0,41.0,51.0,54.0,56.0,57.0,60.0,64.0,76.0,78.0,59.0
6,MountainRock,358,1129,19.0,24.0,31.0,38.0,41.0,43.0,45.0,47.0,54.0,69.0,70.0,48.0
6,MountainRock,358,1134,19.0,26.0,31.0,39.0,40.0,43.0,45.0,49.0,55.0,71.0,69.0,49.0
6,MountainRock,260,905,26.0,31.0,36.0,42.0,42.0,43.0,46.0,50.0,53.0,72.0,70.0,49.0
6,MountainRock,260,910,27.0,29.0,32.0,36.0,38.0,39.0,40.0,43.0,49.0,68.0,70.0,43.0
6,MountainRock,260,915,20.0,23.0,26.0,30.0,33.0,34.0,35.0,36.0,47.0,62.0,63.0,38.0
6,MountainRock,260,920,27.0,30.0,35.0,39.0,41.0,41.0,42.0,47.0,55.0,73.0,73.0,46.0
6,MountainRock,265,905,26.0,32.0,37.0,43.0,45.0,46.0,48.0,51.0,58.0,80.0,77.0,53.0
6,MountainRock,265,910,25.0,24.0,26.0,31.0,34.0,35.0,36.0,38.0,46.0,57.0,58.0,39.0
6,MountainRock,265,915,20.0,21.0,24.0,29.0,32.0,34.0,36.0,39.0,48.0,64.0,64.0,41.0
6,MountainRock,265,920,25.0,27.0,30.0,34.0,36.0,36.0,38.0,40.0,49.0,60.0,62.0,41.0
6,MountainRock,270,905,19.0,23.0,26.0,31.0,34.0,37.0,39.0,44.0,54.0,73.0,68.0,45.0
6,MountainRock,270,910,20.0,24.0,26.0,31.0,34.0,35.0,36.0,39.0,48.0,62.0,62.0,40.0
6,MountainRock,270,915,20.0,23.0,26.0,31.0,34.0,36.0,38.0,39.0,49.0,67.0,69.0,42.0
