Category,LandType,ImageX,ImageY,Band01,Band02,Band03,Band04,Band05,Band06,Band07,Band08,Band8A,Band09,Band11,Band12
5,Snow,199,1451,145.5,157.5,160.0,167.0,167.0,170.0,168.5,178.5,179.0,29.0,26.5,167.5
5,Snow,1,1496,86.5,74.0,56.0,41.5,40.0,41.5,41.0,38.0,35.5,4.5,4.5,36.0
5,Snow,136,1069,65.5,65.5,62.5,64.5,66.0,72.0,76.5,68.5,103.5,37.5,37.0,78.0
5,Snow,194,1150,90.5,73.5,65.0,63.5,69.0,70.0,71.0,66.0,117.0,55.0,54.5,72.0
5,Snow,181,960,77.5,63.0,49.0,37.0,37.0,37.5,36.0,33.0,32.5,19.5,19.0,33.5
5,Snow,205,1219,85.0,88.0,81.0,83.5,85.0,86.5,87.5,87.0,98.0,50.0,47.0,90.5
5,Snow,218,1262,84.0,92.0,90.5,94.5,94.0,96.5,97.5,107.0,106.5,63.5,63.0,100.0
6,MountainRock,365,1212,28.5,33.0,38.0,44.0,48.0,50.5,53.5,56.5,62.5,88.0,85.5,60.5
6,MountainRock,516,1334,35.5,42.0,45.5,49.0,52.0,54.5,58.0,63.5,63.0,97.5,88.5,64.5
6,MountainRock,332,1203,21.5,28.5,38.0,44.5,49.0,50.5,51.5,56.5,56.0,70.0,69.0,55.0
6,MountainRock,343,1119,20.0,24.0,30.0,35.0,38.0,38.5,40.5,42.5,48.5,59.5,62.0,42.0
6,MountainRock,260,905,23.0,24.0,28.0,32.5,34.5,37.0,39.0,41.0,52.0,67.0,66.5,43.0
6,MountainRock,236,852,23.0,28.5,33.0,38.5,42.0,44.0,47.0,52.0,54.0,85.0,78.0,53.5
6,MountainRock,200,805,31.0,35.5,39.0,45.5,49.0,50.5,54.5,60.5,73.0,97.5,94.0,61.5
6,MountainRock,252,718,27.0,29.5,32.0,37.0,41.0,42.5,44.5,47.5,63.5,83.0,82.0,49.0
6,MountainRock,230,666,27.5,34.0,36.0,42.0,48.0,53.5,56.0,61.5,66.5,105.0,98.0,63.0
6,MountainRock,477,679,30.5,36.5,42.5,49.0,49.5,52.5,54.5,60.5,66.5,89.5,86.0,59.0
